LOCK	jujuju7	196.3.98.51	1545015849224	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	196.3.98.51	0
LOCK	jujuju7	196.3.98.51	1545016036142	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	196.3.98.51	1545016036142
LOCK	jujuju7	196.3.98.51	1545016301858	Permalocked as Ju Ju Ju 7~
LOCK	zeeeeonix	193.63.192.164	1542598709621	
LOCK	jujuju7	196.3.98.51	1545017960284	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	196.3.98.51	1545017960284	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	82.137.210.83	1545020903037	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	82.137.210.83	1545020913828	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	82.137.210.83	1545020913828	Permalocked as Ju Ju Ju 7~
LOCK	jujuju7	105.96.13.65	1545070374697	Permalocked as JuJ uJu 7
LOCK	daysfordabs	173.219.41.135	1545627510396	Permalocked as Days for Dabs
LOCK	daysfordabs	173.219.41.135	1545627629309	Permalocked as Days for Dabs
LOCK	daysfordabs	173.219.41.135	1545627629309	Permalocked as Days for Dabs
LOCK	serenewind	166.137.143.77	1545766174516	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545767507208	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545767507208	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545767673631	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545767673631	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545769079430	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545769079430	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545769993659	Permalocked as Serene Wind
LOCK	serenewind	166.137.143.77	1545769993659	Permalocked as Serene Wind
LOCK	daysfordabs	173.219.41.135	1545971166064	Permalocked as Days for Dabs
LOCK	limeleaf	173.219.41.135	1546135118304	Permalocked as Lime Leaf
LOCK	limeleaf	173.219.41.135	1546138989523	Permalocked as Lime Leaf
LOCK	limeleaf	173.219.41.135	1546138989523	Permalocked as Lime Leaf
LOCK	limeleaf	173.219.41.135	1546140534516	Permalocked as Lime Leaf
LOCK	limeleaf	173.219.41.135	1546140534516	Permalocked as Lime Leaf
